Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd)
Kise På Hedmark;SN12550;01.1994;7.2;-20.5
Kise På Hedmark;SN12550;02.1994;-4.3;-27.7
Kise På Hedmark;SN12550;03.1994;9.2;-24.9
Kise På Hedmark;SN12550;04.1994;14.9;-6
Kise På Hedmark;SN12550;05.1994;21.7;-1.5
Kise På Hedmark;SN12550;06.1994;24.6;1.3
Kise På Hedmark;SN12550;08.1994;28.2;4
Kise På Hedmark;SN12550;09.1994;18.9;-2.4
Kise På Hedmark;SN12550;10.1994;15.9;-6
Kise På Hedmark;SN12550;11.1994;11.8;-11.4
Kise På Hedmark;SN12550;02.1995;8.6;-16
Kise På Hedmark;SN12550;03.1995;14.4;-10.4
Kise På Hedmark;SN12550;04.1995;18.3;-6.2
Kise På Hedmark;SN12550;05.1995;21.7;-1.9
Kise På Hedmark;SN12550;06.1995;27.1;3
Kise På Hedmark;SN12550;07.1995;26.7;3.4
Kise På Hedmark;SN12550;09.1995;21.3;1.1
Kise På Hedmark;SN12550;10.1995;17.7;-3
Kise På Hedmark;SN12550;11.1995;8.3;-10.2
Kise På Hedmark;SN12550;12.1995;3.9;-22.3
Kise På Hedmark;SN12550;01.1996;1.7;-25.3
Kise På Hedmark;SN12550;02.1996;4.1;-31.4
Kise På Hedmark;SN12550;03.1996;6.2;-20.9
Kise På Hedmark;SN12550;04.1996;14;-14.7
Kise På Hedmark;SN12550;06.1996;22;4.2
Kise På Hedmark;SN12550;07.1996;25;5.6
Kise På Hedmark;SN12550;10.1996;16.5;-3.1
Kise På Hedmark;SN12550;11.1996;13.3;-16
Kise På Hedmark;SN12550;12.1996;6.1;-20.1
Kise På Hedmark;SN12550;01.1997;10.7;-18.5
Kise På Hedmark;SN12550;02.1997;8.3;-19.4
Kise På Hedmark;SN12550;03.1997;14.2;-9.7
Kise På Hedmark;SN12550;04.1997;15.9;-5.7
Kise På Hedmark;SN12550;05.1997;19.4;-3.5
Kise På Hedmark;SN12550;10.1997;14.4;-6.4
Kise På Hedmark;SN12550;11.1997;13.5;-10.6
Kise På Hedmark;SN12550;12.1997;5.8;-14.8
Kise På Hedmark;SN12550;01.1998;4.3;-15.5
Kise På Hedmark;SN12550;02.1998;12;-18.4
Kise På Hedmark;SN12550;03.1998;9.5;-14.9
Kise På Hedmark;SN12550;04.1998;12;-5.9
Kise På Hedmark;SN12550;05.1998;22;-1.7
Kise På Hedmark;SN12550;06.1998;20.4;2.9
Kise På Hedmark;SN12550;07.1998;22.6;6.5
Kise På Hedmark;SN12550;08.1998;20.8;4.5
Kise På Hedmark;SN12550;09.1998;20.3;2.5
Kise På Hedmark;SN12550;10.1998;13.6;-3.8
Kise På Hedmark;SN12550;11.1998;6.6;-14.5
Kise På Hedmark;SN12550;12.1998;8.3;-13.1
Kise På Hedmark;SN12550;01.1999;6.6;-20.4
Kise På Hedmark;SN12550;02.1999;8.1;-21.9
Kise På Hedmark;SN12550;03.1999;8.4;-15.8
Kise På Hedmark;SN12550;04.1999;17.4;-4.8
Kise På Hedmark;SN12550;05.1999;23.1;-1.7
Kise På Hedmark;SN12550;06.1999;22.8;3.5
Kise På Hedmark;SN12550;07.1999;26.2;5.3
Kise På Hedmark;SN12550;08.1999;27.3;4.1
Kise På Hedmark;SN12550;09.1999;26.1;3.3
Kise På Hedmark;SN12550;10.1999;13.9;-3.4
Kise På Hedmark;SN12550;11.1999;12.4;-7.1
Kise På Hedmark;SN12550;12.1999;7;-20.2
Kise På Hedmark;SN12550;01.2000;9.6;-13
Kise På Hedmark;SN12550;02.2000;8.1;-14.8
Kise På Hedmark;SN12550;03.2000;12.9;-8.8
Kise På Hedmark;SN12550;04.2000;19.9;-8.9
Kise På Hedmark;SN12550;07.2000;24.1;6.5
Kise På Hedmark;SN12550;08.2000;23;5.3
Kise På Hedmark;SN12550;09.2000;18;1.2
Kise På Hedmark;SN12550;10.2000;16.6;0.6
Kise På Hedmark;SN12550;11.2000;8.8;-0.4
Kise På Hedmark;SN12550;05.2002;21.4;0.9
Kise På Hedmark;SN12550;08.2002;28.8;8.3
Kise På Hedmark;SN12550;09.2002;24.2;-0.8
Kise På Hedmark;SN12550;10.2002;13.4;-10.9
Kise På Hedmark;SN12550;01.2003;6.5;-30.4
Kise På Hedmark;SN12550;02.2003;2.6;-20.2
Kise På Hedmark;SN12550;03.2003;10.8;-19.4
Kise På Hedmark;SN12550;04.2003;18.5;-6
Kise På Hedmark;SN12550;05.2003;20;0.1
Kise På Hedmark;SN12550;06.2003;24.9;5.2
Kise På Hedmark;SN12550;07.2003;30.1;8.2
Kise På Hedmark;SN12550;08.2003;25.6;4.2
Kise På Hedmark;SN12550;09.2003;21.7;-0.9
Kise På Hedmark;SN12550;10.2003;15.2;-7.3
Kise På Hedmark;SN12550;11.2003;9.3;-9.9
Kise På Hedmark;SN12550;12.2003;8.6;-15.6
Kise På Hedmark;SN12550;01.2004;1;-19.7
Kise På Hedmark;SN12550;02.2004;9.2;-19.6
Kise På Hedmark;SN12550;03.2004;11.9;-19.8
Kise På Hedmark;SN12550;04.2004;15.7;-6.8
Kise På Hedmark;SN12550;05.2004;24.4;0.1
Kise På Hedmark;SN12550;06.2004;23.2;3.1
Kise På Hedmark;SN12550;07.2004;26.9;5.9
Kise På Hedmark;SN12550;08.2004;30.5;3.8
Kise På Hedmark;SN12550;09.2004;22.9;2.2
Kise På Hedmark;SN12550;10.2004;13.1;-3.4
Kise På Hedmark;SN12550;11.2004;11.2;-13.5
Kise På Hedmark;SN12550;12.2004;8.3;-14.7
Kise På Hedmark;SN12550;01.2005;10.4;-8.6
Kise På Hedmark;SN12550;02.2005;8.9;-14.1
Kise På Hedmark;SN12550;03.2005;9.5;-20.3
Kise På Hedmark;SN12550;04.2005;16;-3.3
Kise På Hedmark;SN12550;05.2005;17.8;-1.2
Kise På Hedmark;SN12550;06.2005;22.2;3
Kise På Hedmark;SN12550;07.2005;30.5;6.2
Kise På Hedmark;SN12550;08.2005;24.5;4
Kise På Hedmark;SN12550;09.2005;22.5;-0.6
Kise På Hedmark;SN12550;10.2005;17;-5.6
Kise På Hedmark;SN12550;11.2005;12.9;-11.2
Kise På Hedmark;SN12550;12.2005;7.8;-14.1
Kise På Hedmark;SN12550;01.2006;6.7;-13
Kise På Hedmark;SN12550;02.2006;9.1;-20.2
Kise På Hedmark;SN12550;04.2006;13.1;-8.5
Kise På Hedmark;SN12550;05.2006;22.2;-0.8
Kise På Hedmark;SN12550;06.2006;28.8;3.9
Kise På Hedmark;SN12550;07.2006;28.7;8
Kise På Hedmark;SN12550;08.2006;29.4;8.4
Kise På Hedmark;SN12550;09.2006;22.2;6
Kise På Hedmark;SN12550;10.2006;16.6;-3.4
Kise På Hedmark;SN12550;11.2006;11.8;-8.9
Kise På Hedmark;SN12550;12.2006;10.4;-7.1
Kise På Hedmark;SN12550;01.2007;8.7;-17.3
Kise På Hedmark;SN12550;02.2007;3.8;-19.9
Kise På Hedmark;SN12550;03.2007;12.5;-5.9
Kise På Hedmark;SN12550;04.2007;18.8;-5.7
Kise På Hedmark;SN12550;05.2007;20.3;0.9
Kise På Hedmark;SN12550;06.2007;28.4;1.9
Kise På Hedmark;SN12550;07.2007;23.8;6.1
Kise På Hedmark;SN12550;08.2007;26;2.6
Kise På Hedmark;SN12550;09.2007;22.3;-1
Kise På Hedmark;SN12550;10.2007;15.1;-2.4
Kise På Hedmark;SN12550;11.2007;12.1;-8
Kise På Hedmark;SN12550;12.2007;7.7;-14
Kise På Hedmark;SN12550;01.2008;6.8;-9.3
Kise På Hedmark;SN12550;02.2008;9.3;-10.7
Kise På Hedmark;SN12550;03.2008;8;-14.4
Kise På Hedmark;SN12550;04.2008;16.4;-1.9
Kise På Hedmark;SN12550;05.2008;25.4;0.7
Kise På Hedmark;SN12550;06.2008;27.9;2.9
Kise På Hedmark;SN12550;07.2008;31.1;6.2
Kise På Hedmark;SN12550;08.2008;24.4;6.4
Kise På Hedmark;SN12550;09.2008;19.9;1.6
Kise På Hedmark;SN12550;10.2008;15.9;-4.3
Kise På Hedmark;SN12550;11.2008;8.7;-7.7
Kise På Hedmark;SN12550;12.2008;7.4;-17.4
Kise På Hedmark;SN12550;01.2009;7.6;-17.1
Kise På Hedmark;SN12550;02.2009;1.4;-24
Kise På Hedmark;SN12550;03.2009;7.7;-14.7
Kise På Hedmark;SN12550;04.2009;17.4;-5
Kise På Hedmark;SN12550;05.2009;24.3;2.4
Kise På Hedmark;SN12550;06.2009;30.3;2.3
Kise På Hedmark;SN12550;07.2009;29.2;8.5
Kise På Hedmark;SN12550;08.2009;23.8;5.5
Kise På Hedmark;SN12550;09.2009;20.8;0.4
Kise På Hedmark;SN12550;10.2009;12.4;-3.9
Kise På Hedmark;SN12550;11.2009;10.8;-6
Kise På Hedmark;SN12550;12.2009;4;-22.2
Kise På Hedmark;SN12550;01.2010;-1.7;-25
Kise På Hedmark;SN12550;02.2010;-2.3;-29.3
Kise På Hedmark;SN12550;03.2010;10.5;-23.3
Kise På Hedmark;SN12550;04.2010;16.9;-5.6
Kise På Hedmark;SN12550;05.2010;20.9;-1.3
Kise På Hedmark;SN12550;06.2010;21.8;2.9
Kise På Hedmark;SN12550;07.2010;24.8;4
Kise På Hedmark;SN12550;08.2010;23.9;6.2
Kise På Hedmark;SN12550;09.2010;20.2;-1.7
Kise På Hedmark;SN12550;10.2010;15.4;-7.7
Kise På Hedmark;SN12550;11.2010;9.2;-14.9
Kise På Hedmark;SN12550;12.2010;-1.9;-23.4
Kise På Hedmark;SN12550;01.2011;3.4;-18.8
Kise På Hedmark;SN12550;02.2011;2.7;-31.8
Kise På Hedmark;SN12550;03.2011;12.8;-20.6
Kise På Hedmark;SN12550;04.2011;20.3;-3.8
Kise På Hedmark;SN12550;05.2011;20.6;-0.7
Kise På Hedmark;SN12550;06.2011;24.4;5.5
Kise På Hedmark;SN12550;07.2011;26.4;4.4
Kise På Hedmark;SN12550;08.2011;24;4.8
Kise På Hedmark;SN12550;09.2011;25.2;1.2
Kise På Hedmark;SN12550;10.2011;14.9;-3.5
Kise På Hedmark;SN12550;11.2011;12;-6
Kise På Hedmark;SN12550;12.2011;11.4;-14.7
Kise På Hedmark;SN12550;01.2012;3.1;-18.4
Kise På Hedmark;SN12550;02.2012;8.9;-21.5
Kise På Hedmark;SN12550;03.2012;18.3;-9.1
Kise På Hedmark;SN12550;04.2012;14.5;-6
Kise På Hedmark;SN12550;05.2012;27.5;-1.6
Kise På Hedmark;SN12550;06.2012;22.1;2.9
Kise På Hedmark;SN12550;07.2012;24.7;4.6
Kise På Hedmark;SN12550;08.2012;25.7;3.8
Kise På Hedmark;SN12550;09.2012;22.2;-1.1
Kise På Hedmark;SN12550;10.2012;15.1;-11.1
Kise På Hedmark;SN12550;11.2012;10.2;-7
Kise På Hedmark;SN12550;12.2012;5.5;-17.7
Kise På Hedmark;SN12550;01.2013;6.4;-23.2
Kise På Hedmark;SN12550;02.2013;8.8;-20.3
Kise På Hedmark;SN12550;03.2013;11.1;-20.8
Kise På Hedmark;SN12550;04.2013;14.7;-12
Kise På Hedmark;SN12550;05.2013;27.5;-2
Kise På Hedmark;SN12550;06.2013;21.7;3.6
Kise På Hedmark;SN12550;07.2013;28.9;5.8
Kise På Hedmark;SN12550;08.2013;24.6;6.8
Kise På Hedmark;SN12550;09.2013;22.3;-0.7
Kise På Hedmark;SN12550;10.2013;17.6;-5.3
Kise På Hedmark;SN12550;11.2013;13.7;-10.6
Kise På Hedmark;SN12550;12.2013;8.5;-13.3
Kise På Hedmark;SN12550;01.2014;8.2;-17.4
Kise På Hedmark;SN12550;02.2014;8.2;-8.2
Kise På Hedmark;SN12550;03.2014;14.4;-4.9
Kise På Hedmark;SN12550;04.2014;21;-4.2
Kise På Hedmark;SN12550;05.2014;25.4;-3.2
Kise På Hedmark;SN12550;06.2014;27.2;4.1
Kise På Hedmark;SN12550;07.2014;33.5;6.9
Kise På Hedmark;SN12550;08.2014;25.8;6.1
Kise På Hedmark;SN12550;09.2014;23;0.4
Kise På Hedmark;SN12550;10.2014;16.4;-3.6
Kise På Hedmark;SN12550;11.2014;13;-5
Kise På Hedmark;SN12550;12.2014;6.9;-20.2
Kise På Hedmark;SN12550;01.2015;7.3;-13.9
Kise På Hedmark;SN12550;02.2015;10.2;-17.9
Kise På Hedmark;SN12550;03.2015;12.7;-7.7
Kise På Hedmark;SN12550;04.2015;22.6;-5.4
Kise På Hedmark;SN12550;05.2015;17.1;-1.9
Kise På Hedmark;SN12550;06.2015;22.5;1.6
Kise På Hedmark;SN12550;07.2015;27.8;4.4
Kise På Hedmark;SN12550;08.2015;25.5;4.8
Kise På Hedmark;SN12550;09.2015;21;1.6
Kise På Hedmark;SN12550;10.2015;18.3;-2
Kise På Hedmark;SN12550;11.2015;16.6;-8.3
Kise På Hedmark;SN12550;12.2015;10.5;-11.1
Kise På Hedmark;SN12550;01.2016;6.7;-21.9
Kise På Hedmark;SN12550;02.2016;8.4;-11.8
Kise På Hedmark;SN12550;03.2016;11.9;-8.6
Kise På Hedmark;SN12550;04.2016;13.3;-4.6
Kise På Hedmark;SN12550;05.2016;26.2;0.7
Kise På Hedmark;SN12550;06.2016;28.1;2.4
Kise På Hedmark;SN12550;07.2016;26.6;6.9
Kise På Hedmark;SN12550;08.2016;24.6;3.4
Kise På Hedmark;SN12550;09.2016;24;4.4
Kise På Hedmark;SN12550;10.2016;15.3;-2.3
Kise På Hedmark;SN12550;11.2016;9.1;-13.8
Kise På Hedmark;SN12550;12.2016;9.4;-13.1
Kise På Hedmark;SN12550;01.2017;8.4;-14.8
Kise På Hedmark;SN12550;02.2017;6.3;-16.9
Kise På Hedmark;SN12550;03.2017;17.7;-12.4
Kise På Hedmark;SN12550;04.2017;15.7;-3.2
Kise På Hedmark;SN12550;05.2017;30.7;-1.9
Kise På Hedmark;SN12550;06.2017;24.5;1.9
Kise På Hedmark;SN12550;07.2017;25;4.4
Kise På Hedmark;SN12550;08.2017;23.6;4.3
Kise På Hedmark;SN12550;09.2017;18.6;4.6
Kise På Hedmark;SN12550;10.2017;15.9;-2.5
Kise På Hedmark;SN12550;11.2017;9.4;-9.4
Kise På Hedmark;SN12550;12.2017;7.7;-14.3
Kise På Hedmark;SN12550;01.2018;6.4;-19.8
Kise På Hedmark;SN12550;02.2018;3.2;-20.2
Kise På Hedmark;SN12550;03.2018;8.9;-25.2
Kise På Hedmark;SN12550;04.2018;14.2;-13.6
Kise På Hedmark;SN12550;05.2018;28.9;0
Kise På Hedmark;SN12550;06.2018;31;2.9
Kise På Hedmark;SN12550;07.2018;32.5;5.4
Kise På Hedmark;SN12550;08.2018;27.9;5.2
Kise På Hedmark;SN12550;09.2018;21.4;-1.3
Kise På Hedmark;SN12550;10.2018;18.1;-4.8
Kise På Hedmark;SN12550;11.2018;11.1;-10.7
Kise På Hedmark;SN12550;12.2018;6.6;-16.2
Kise På Hedmark;SN12550;01.2019;5.9;-21.6
Kise På Hedmark;SN12550;02.2019;9.3;-20.8
Kise På Hedmark;SN12550;03.2019;14.6;-17.5
Kise På Hedmark;SN12550;04.2019;24.4;-7.6
Kise På Hedmark;SN12550;05.2019;24.9;-2.4
Kise På Hedmark;SN12550;06.2019;24.4;5.5
Kise På Hedmark;SN12550;07.2019;31.5;4.5
Kise På Hedmark;SN12550;08.2019;26.4;6.8
Kise På Hedmark;SN12550;09.2019;20.8;1.5
Kise På Hedmark;SN12550;10.2019;13.4;-3.9
Kise På Hedmark;SN12550;11.2019;4.1;-10.5
Kise På Hedmark;SN12550;12.2019;7.8;-14
Kise På Hedmark;SN12550;01.2020;11.2;-8.8
Kise På Hedmark;SN12550;02.2020;8.8;-11.4
Kise På Hedmark;SN12550;03.2020;12.3;-14.5
Kise På Hedmark;SN12550;04.2020;18.7;-4.1
Kise På Hedmark;SN12550;05.2020;26.4;-3.1
Kise På Hedmark;SN12550;06.2020;30.8;6.4
Kise På Hedmark;SN12550;07.2020;24.5;5.1
Kise På Hedmark;SN12550;08.2020;27.8;3.4
Kise På Hedmark;SN12550;09.2020;21.9;1.3
Kise På Hedmark;SN12550;10.2020;16.4;-1.7
Kise På Hedmark;SN12550;11.2020;14.9;-9
Kise På Hedmark;SN12550;12.2020;7.3;-8
Kise På Hedmark;SN12550;01.2021;5.3;-19.3
Kise På Hedmark;SN12550;02.2021;9.5;-18.7
Kise På Hedmark;SN12550;03.2021;16.1;-7.3
Kise På Hedmark;SN12550;04.2021;16.6;-6.8
Kise På Hedmark;SN12550;05.2021;25.5;-3.9
Kise På Hedmark;SN12550;06.2021;25.6;5.5
Kise På Hedmark;SN12550;07.2021;30.1;6.1
Kise På Hedmark;SN12550;08.2021;24.1;4.9
Kise På Hedmark;SN12550;09.2021;26.2;1.2
Kise På Hedmark;SN12550;10.2021;15.5;-3.2
Kise På Hedmark;SN12550;11.2021;11.4;-14.2
Kise På Hedmark;SN12550;12.2021;7.4;-16.4
Kise På Hedmark;SN12550;01.2022;11.3;-16.4
Kise På Hedmark;SN12550;02.2022;7.3;-16.9
Kise På Hedmark;SN12550;03.2022;14.3;-12.3
Kise På Hedmark;SN12550;04.2022;19.3;-5.9
Kise På Hedmark;SN12550;05.2022;19.8;-2.3
Kise På Hedmark;SN12550;06.2022;28.1;3.6
Kise På Hedmark;SN12550;07.2022;27.8;6.7
Kise På Hedmark;SN12550;08.2022;28.8;5.7
Kise På Hedmark;SN12550;09.2022;19.1;-0.1
Kise På Hedmark;SN12550;10.2022;16.2;-2.5
Kise På Hedmark;SN12550;11.2022;16.3;-5.8
Kise På Hedmark;SN12550;12.2022;5.7;-19.8
Kise På Hedmark;SN12550;01.2023;7;-21.5
Kise På Hedmark;SN12550;02.2023;8.2;-16.6
Kise På Hedmark;SN12550;03.2023;9;-19
Kise På Hedmark;SN12550;04.2023;15.1;-8
Kise På Hedmark;SN12550;05.2023;25;-2.9
Kise På Hedmark;SN12550;06.2023;30.7;2.9
Kise På Hedmark;SN12550;07.2023;26.3;6.8
Kise På Hedmark;SN12550;08.2023;23;7.9
Kise På Hedmark;SN12550;09.2023;25;1.9
Kise På Hedmark;SN12550;10.2023;16.8;-4.9
Kise På Hedmark;SN12550;11.2023;4.9;-12.6
Kise På Hedmark;SN12550;12.2023;4.9;-19.5
Kise På Hedmark;SN12550;01.2024;7.3;-29.4
Kise På Hedmark;SN12550;02.2024;7.1;-28.8
Kise På Hedmark;SN12550;03.2024;9.7;-10
Kise På Hedmark;SN12550;04.2024;17;-7.8
Kise På Hedmark;SN12550;05.2024;25.9;3.8
Kise På Hedmark;SN12550;06.2024;25.7;4
Kise På Hedmark;SN12550;07.2024;26.5;6.5
Kise På Hedmark;SN12550;08.2024;24.9;6.3
Kise På Hedmark;SN12550;09.2024;22;-1
Kise På Hedmark;SN12550;10.2024;15.7;-1.1
Kise På Hedmark;SN12550;11.2024;13.7;-8.5
Kise På Hedmark;SN12550;12.2024;10;-13.6
Kise På Hedmark;SN12550;06.1997;-;4.6
Kise På Hedmark;SN12550;07.1997;-;7.4
Kise På Hedmark;SN12550;08.1997;-;0
Kise På Hedmark;SN12550;09.1997;-;1
Data er gyldig per 17.09.2025 (CC BY 4.0). Meteorologisk institutt (MET);;;;